GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AppointmentSystem,com.hamdi.appointments.strategy,InPersonRule,13,0,2,0,3,0,4,0,3,0
AppointmentSystem,com.hamdi.appointments.strategy,FollowUpRule,13,0,2,0,3,0,4,0,3,0
AppointmentSystem,com.hamdi.appointments.strategy,UrgentRule,0,13,0,2,0,3,0,4,0,3
AppointmentSystem,com.hamdi.appointments.strategy,GroupRule,13,0,2,0,3,0,4,0,3,0
AppointmentSystem,com.hamdi.appointments.strategy,AssessmentRule,13,0,2,0,3,0,4,0,3,0
AppointmentSystem,com.hamdi.appointments.strategy,VirtualRule,2,5,0,0,1,2,1,2,1,2
AppointmentSystem,com.hamdi.appointments.strategy,IndividualRule,2,11,1,1,0,3,1,3,0,3
AppointmentSystem,com.hamdi.appointments.notification,NotificationService,7,39,0,0,3,5,2,2,2,2
AppointmentSystem,com.hamdi.appointments.notification,NotificationManager,0,31,0,2,0,8,0,4,0,3
AppointmentSystem,com.hamdi.appointments.domain,Appointment,42,113,4,4,12,29,8,11,4,11
AppointmentSystem,com.hamdi.appointments.domain,AppointmentType,0,45,0,0,0,8,0,1,0,1
AppointmentSystem,com.hamdi.appointments.domain,User,15,0,0,0,6,0,3,0,3,0
AppointmentSystem,com.hamdi.appointments.domain,Administrator,15,0,0,0,6,0,3,0,3,0
AppointmentSystem,com.hamdi.appointments.repository,AppointmentRepository,0,65,0,8,0,16,0,9,0,5
AppointmentSystem,com.hamdi.appointments.gui,BookingsGUI,397,0,20,0,82,0,16,0,6,0
AppointmentSystem,com.hamdi.appointments.gui,LoginGUI,296,0,8,0,50,0,11,0,7,0
AppointmentSystem,com.hamdi.appointments.gui,AppointmentsGUI,624,0,40,0,128,0,28,0,8,0
AppointmentSystem,com.hamdi.appointments.service,AppointmentService,125,504,17,39,34,112,19,24,2,10
AppointmentSystem,com.hamdi.appointments.service,AuthService,0,65,1,7,0,11,1,9,0,6
